Location(x=-122.903664, y=57.850098, z=0.158620)
Location(x=59.711575, y=58.034813, z=0.158620)
Location(x=-121.273010, y=21.313633, z=0.158620)
Location(x=-63.373692, y=-76.643356, z=0.158620)
Location(x=27.677645, y=58.019924, z=0.158620)
Location(x=78.057678, y=2.571452, z=0.158620)
Location(x=92.394264, y=139.122482, z=0.158620)
Location(x=94.057678, y=136.307373, z=0.158620)
Location(x=-122.118393, y=45.994488, z=0.158620)
Location(x=-118.871475, y=-31.152905, z=0.158620)
Location(x=-10.659265, y=-51.604282, z=0.158620)
Location(x=-35.793156, y=-5.952467, z=0.158620)
Location(x=-87.975548, y=6.689179, z=0.158620)
Location(x=80.003571, y=-72.774918, z=0.158620)
Location(x=-119.389160, y=19.281862, z=0.158620)
Location(x=118.929207, y=41.559219, z=0.158620)
Location(x=-94.780991, y=-28.125330, z=0.158620)
Location(x=6.229877, y=124.231979, z=0.158620)
Location(x=-12.099416, y=122.678627, z=0.158620)
Location(x=48.180649, y=122.730721, z=0.158620)
Location(x=13.022818, y=78.005051, z=0.158620)
Location(x=84.237503, y=57.597157, z=0.158620)
Location(x=-14.558172, y=36.222694, z=0.158620)
Location(x=-63.572075, y=149.694061, z=0.158620)
Location(x=83.656876, y=112.096603, z=0.158620)
Location(x=115.842827, y=61.727394, z=0.158620)
Location(x=-34.355862, y=-25.339838, z=0.158620)
Location(x=114.980591, y=79.426842, z=0.158620)
Location(x=76.498505, y=145.524979, z=0.158620)
Location(x=41.574272, y=146.803192, z=0.158620)
Location(x=80.079712, y=-45.120407, z=0.158620)
Location(x=38.330265, y=121.282990, z=0.189967)
Location(x=63.158138, y=122.134010, z=0.158620)
Location(x=80.076370, y=37.853725, z=0.158620)
Location(x=-19.000923, y=-49.889851, z=0.158620)
Location(x=73.748077, y=6.567978, z=0.158620)
Location(x=-24.663822, y=4.203578, z=0.158620)
Location(x=-61.556381, y=48.566929, z=0.158620)
Location(x=74.566994, y=-74.877441, z=0.158620)
Location(x=77.955101, y=35.406517, z=0.158620)
Location(x=112.764999, y=-46.454327, z=0.158620)
Location(x=-112.695496, y=-48.337635, z=0.158620)
Location(x=9.904224, y=4.474804, z=0.158620)
Location(x=31.557827, y=49.087303, z=0.158620)
Location(x=38.041264, y=5.351834, z=0.158620)
Location(x=-95.185867, y=-22.104179, z=0.158620)
Location(x=-63.760319, y=-50.242332, z=0.158620)
Location(x=84.240555, y=58.942924, z=0.158620)
Location(x=-6.789097, y=122.174095, z=0.158620)
Location(x=-57.689610, y=-33.574669, z=0.158620)
Location(x=-10.653021, y=7.319507, z=0.158620)
Location(x=-117.280800, y=-36.067017, z=0.158620)
Location(x=-73.623680, y=147.631577, z=0.158620)
Location(x=90.430840, y=43.450260, z=0.158620)
Location(x=30.629704, y=3.853675, z=0.158620)
Location(x=29.607729, y=2.879176, z=0.158620)
Location(x=-94.133194, y=-36.729919, z=0.158620)
Location(x=61.391541, y=3.475876, z=0.158620)
Location(x=-21.303051, y=78.563492, z=0.158620)
Location(x=-71.690994, y=-78.260323, z=0.158620)
Location(x=34.612534, y=-48.465492, z=0.158620)
Location(x=-76.568878, y=-75.610168, z=0.158620)
Location(x=-121.489853, y=14.106878, z=0.158620)
Location(x=-69.495392, y=-51.317135, z=0.158620)
Location(x=113.366142, y=110.278831, z=0.158620)
Location(x=-26.706928, y=56.782143, z=0.158620)
Location(x=53.176346, y=54.526154, z=0.158620)
Location(x=25.511538, y=7.120504, z=0.158620)
Location(x=89.735260, y=81.131073, z=0.158620)
Location(x=91.524857, y=-16.547997, z=0.158620)
Location(x=-61.325706, y=-49.560486, z=0.158620)
